Date,Product_Category,Product,Region,Customer_Type,Units_Sold,Unit_Price,Revenue,Profit
2022-01-06,Beauty,Face Serum,North,Wholesale,38,83.44,3804.86,1605.47
2022-01-06,Sports,Running Shoes,North,Wholesale,91,373.87,40826.6,16909.29
2022-01-06,Sports,Running Shoes,Central,Wholesale,88,130.04,11443.52,2996.93
2022-01-06,Home & Garden,Lamp,West,Direct,6,217.89,1438.07,
2022-01-06,Sports,Dumbbell Set,South,Wholesale,80,339.15,25775.4,10202.4
2022-01-06,Home & Garden,Lamp,Central,Retail,82,466.09,38219.38,9516.2
2022-01-06,Clothing,Jacket,North,Wholesale,13,483.76,7546.66,2845.96
2022-01-06,Clothing,T-Shirt,Central,Wholesale,55,68.65,3775.75,1658.94
2022-01-06,Beauty,Makeup Palette,Central,Retail,41,161.08,6604.28,2073.48
2022-01-06,Clothing,Jeans,North,Retail,14,97.33,1635.14,327.28
2022-01-07,Clothing,Sneakers,East,Wholesale,81,162.34,13149.54,5874.53
2022-01-07,Home & Garden,Cookware Set,North,Direct,22,244.42,6452.69,1401.01
2022-01-07,Electronics,Tablet,East,Retail,63,408.35,25726.05,10860.63
2022-01-07,Home & Garden,Lamp,East,Retail,20,100.11,2002.2,583.8
2022-01-07,Home & Garden,Cookware Set,South,Wholesale,53,114.0,5739.9,1434.11
2022-01-07,Clothing,Jeans,Central,Direct,25,31.93,798.25,345.37
2022-01-07,Sports,Yoga Mat,North,Retail,64,40.56,3115.01,486.58
2022-01-07,Clothing,T-Shirt,West,Wholesale,78,71.92,6170.74,1661.83
2022-01-07,Home & Garden,Cookware Set,West,Wholesale,74,205.54,16730.96,5968.49
2022-01-07,Sports,Bike Helmet,West,Wholesale,31,33.94,1157.35,456.01
2022-01-07,Home & Garden,Bedding Set,South,Direct,82,462.96,36064.58,15585.21
2022-01-08,Beauty,Face Serum,West,Direct,33,102.62,3725.11,1351.26
2022-01-08,Beauty,Makeup Palette,South,Retail,3,441.02,1256.91,218.97
2022-01-08,Electronics,Headphones,North,Direct,79,103.19,9782.41,3907.28
2022-01-08,Electronics,Smartwatch,Central,Retail,20,211.25,4225.0,1791.12
2022-01-08,Beauty,Hair Dryer,East,Retail,48,303.75,14580.0,3844.67
2022-01-08,Home & Garden,Lamp,North,Wholesale,76,98.36,8970.43,3842.05
2022-01-08,Electronics,Tablet,North,Direct,70,238.89,20066.76,4156.49
2022-01-08,Sports,Dumbbell Set,South,Wholesale,35,224.44,7462.63,1298.48
2022-01-08,Clothing,Dress,Central,Wholesale,24,260.28,6246.72,1821.03
2022-01-08,Electronics,Smartphone,Central,Retail,30,167.75,5032.5,1838.7
2022-01-08,Electronics,Smartphone,North,Retail,71,477.18,40655.74,8419.41
2022-01-08,Clothing,Dress,West,Wholesale,51,491.57,27577.08,5980.98
2022-01-08,Electronics,Tablet,Central,Wholesale,99,137.17,13579.83,5653.12
2022-01-08,Sports,Tennis Racket,North,Direct,91,486.27,53100.68,9150.0
2022-01-08,Electronics,Headphones,Central,Retail,24,64.37,1544.88,675.02
2022-01-08,Beauty,Makeup Palette,West,Retail,4,450.77,1983.39,848.12
2022-01-08,Electronics,Tablet,West,Retail,12,168.89,2229.35,402.8
2022-01-08,Beauty,Makeup Palette,East,Wholesale,39,123.19,4804.41,1947.78
2022-01-08,Sports,Bike Helmet,North,Wholesale,58,408.29,28416.98,7834.24
2022-01-08,Clothing,Jeans,East,Direct,20,354.37,7087.4,1482.98
2022-01-08,Sports,Running Shoes,East,Retail,46,348.89,16048.94,4368.72
2022-01-09,Clothing,T-Shirt,East,Direct,78,178.02,13885.56,3619.26
2022-01-09,Sports,Dumbbell Set,North,Retail,42,353.63,17822.95,6039.16
2022-01-09,Home & Garden,Office Chair,North,Retail,89,191.77,20481.04,5935.11
2022-01-09,Beauty,Face Serum,Central,Direct,35,58.88,2060.8,406.61
2022-01-09,Sports,Running Shoes,South,Wholesale,29,178.78,4925.39,1410.29
2022-01-09,Beauty,Face Serum,East,Direct,9,10.91,98.19,23.51
2022-01-09,Sports,Dumbbell Set,North,Direct,63,379.5,28690.2,9480.45
2022-01-09,Home & Garden,Bedding Set,South,Wholesale,53,31.44,1583.0,243.8
2022-01-09,Electronics,Tablet,South,Direct,86,132.91,10858.75,4642.9
2022-01-09,Sports,Running Shoes,South,Direct,28,225.16,5989.26,1087.95
2022-01-09,Clothing,Sneakers,South,Retail,73,175.82,12193.12,2711.41
2022-01-09,Home & Garden,Office Chair,Central,Retail,83,358.9,29788.7,7639.99
2022-01-09,Clothing,Jacket,East,Retail,71,298.5,21193.5,4802.02
2022-01-09,Home & Garden,Lamp,South,Direct,34,429.36,13868.33,4068.29
2022-01-09,Sports,Tennis Racket,North,Direct,84,174.12,17551.3,5328.51
2022-01-09,Clothing,Sneakers,West,Direct,69,107.85,8185.82,3036.53
2022-01-09,Clothing,T-Shirt,Central,Wholesale,40,321.48,12859.2,2404.04
2022-01-09,Beauty,Face Serum,West,Wholesale,69,211.11,16023.25,5608.55
2022-01-10,Clothing,Jacket,East,Retail,19,469.91,8928.29,2945.36
2022-01-10,Beauty,Makeup Palette,East,Direct,26,363.18,9442.68,2600.15
2022-01-10,Beauty,Makeup Palette,South,Direct,28,237.17,6308.72,2837.27
2022-01-10,Electronics,Smartwatch,Central,Wholesale,69,334.83,23103.27,10361.13
2022-01-10,Electronics,Smartwatch,East,Retail,92,221.96,20420.32,4998.54
2022-01-10,Electronics,Laptop,North,Direct,25,344.6,10338.0,3861.32
2022-01-10,Home & Garden,Cookware Set,West,Direct,97,434.17,46325.94,20706.37
2022-01-10,Sports,Yoga Mat,West,Wholesale,56,114.37,7045.19,3080.48
2022-01-10,Electronics,Tablet,West,Direct,79,447.05,38848.65,12224.77
2022-01-10,Clothing,Jacket,East,Wholesale,51,384.46,19607.46,8643.58
2022-01-10,Sports,Running Shoes,Central,Direct,88,82.68,7275.84,2833.81
2022-01-10,Clothing,Dress,West,Wholesale,21,444.32,10263.79,2923.28
2022-01-10,Clothing,Jeans,South,Direct,84,144.81,11555.84,3825.95
2022-01-10,Home & Garden,Bedding Set,East,Retail,45,86.71,3901.95,1470.4
2022-01-11,Home & Garden,Garden Tools,East,Retail,19,435.74,8279.06,1802.6
2022-01-11,Beauty,Fragrance,West,Direct,46,457.17,23132.8,7427.83
2022-01-11,Electronics,Headphones,North,Retail,63,470.43,35564.51,14447.48
2022-01-11,Electronics,Headphones,North,Direct,83,429.93,42821.03,18800.38
2022-01-11,Clothing,Jacket,Central,Direct,6,202.66,1215.96,435.26
2022-01-11,Home & Garden,Garden Tools,South,Retail,71,194.9,13146.0,4315.85
2022-01-11,Electronics,Tablet,West,Wholesale,45,206.83,10238.09,1812.94
2022-01-11,Clothing,Sneakers,South,Retail,75,468.63,33389.89,11224.54
2022-01-11,Clothing,Jacket,Central,Retail,61,353.74,21578.14,7608.83
2022-01-11,Beauty,Makeup Palette,West,Retail,67,219.34,16165.36,6237.28
2022-01-11,Sports,Dumbbell Set,East,Wholesale,25,440.8,11020.0,2125.41
2022-01-12,Clothing,Jeans,Central,Retail,9,232.79,2095.11,545.98
2022-01-12,Clothing,Jeans,South,Wholesale,70,62.17,4134.31,882.98
2022-01-12,Clothing,Sneakers,West,Direct,19,339.4,7093.46,2682.57
2022-01-12,Beauty,Hair Dryer,South,Wholesale,49,217.27,10113.92,4000.82
2022-01-12,Electronics,Smartphone,West,Retail,66,163.07,11838.88,2005.84
2022-01-12,Sports,Dumbbell Set,North,Retail,36,473.18,20441.38,5130.13
2022-01-12,Electronics,Tablet,West,Retail,22,275.43,6665.41,
2022-01-12,Sports,Bike Helmet,East,Direct,16,118.2,1891.2,526.57
2022-01-12,Clothing,Jacket,East,Retail,73,307.23,22427.79,6581.98
2022-01-12,Electronics,Smartwatch,North,Retail,14,205.03,3444.5,805.55
2022-01-12,Home & Garden,Lamp,South,Wholesale,23,260.04,5681.87,1686.15
2022-01-12,Beauty,Hair Dryer,West,Direct,10,160.36,1763.96,309.38
2022-01-12,Beauty,Fragrance,East,Retail,44,269.07,11839.08,2630.42
2022-01-12,Home & Garden,Garden Tools,North,Retail,39,404.71,18940.43,3821.93
2022-01-12,Electronics,Laptop,North,Wholesale,70,180.85,15191.4,3885.39
2022-01-12,Clothing,Dress,Central,Retail,84,285.65,23994.6,6562.29
2022-01-12,Beauty,Hair Dryer,North,Wholesale,38,267.28,12187.97,4996.36
2022-01-12,Clothing,T-Shirt,North,Direct,60,164.25,11826.0,5044.1
2022-01-12,Sports,Bike Helmet,Central,Direct,1,184.06,184.06,47.35
2022-01-13,Beauty,Makeup Palette,West,Retail,3,13.24,43.69,13.78
2022-01-13,Sports,Bike Helmet,West,Wholesale,34,81.12,3033.89,1247.18
2022-01-13,Electronics,Smartphone,East,Wholesale,23,17.35,399.05,138.15
2022-01-13,Clothing,Sneakers,South,Wholesale,57,327.47,17732.5,3808.77
2022-01-13,Home & Garden,Lamp,Central,Direct,97,20.13,1952.61,715.78
2022-01-13,Home & Garden,Cookware Set,West,Wholesale,63,206.1,14282.73,5269.66
2022-01-13,Electronics,Smartwatch,South,Wholesale,99,432.41,40668.16,16867.87
2022-01-13,Clothing,Jeans,South,Direct,70,132.85,8834.52,3220.89
2022-01-13,Sports,Yoga Mat,Central,Retail,37,470.09,17393.33,5034.62
2022-01-13,Electronics,Smartphone,West,Wholesale,62,451.1,30765.02,5822.33
2022-01-13,Home & Garden,Office Chair,North,Direct,87,448.99,46874.56,17190.25
2022-01-13,Home & Garden,Bedding Set,West,Direct,96,32.39,3420.38,1513.35
2022-01-13,Electronics,Smartwatch,North,Retail,84,239.21,24112.37,8259.72
2022-01-13,Clothing,Sneakers,Central,Retail,82,382.92,31399.44,9336.06
2022-01-13,Home & Garden,Cookware Set,West,Direct,2,43.99,96.78,36.95
2022-01-13,Home & Garden,Lamp,Central,Wholesale,9,148.73,1338.57,408.59
2022-01-13,Sports,Running Shoes,East,Direct,64,451.18,28875.52,11856.6
2022-01-13,Electronics,Headphones,East,Retail,79,388.74,30710.46,9713.54
2022-01-13,Clothing,Jacket,North,Retail,2,338.42,812.21,174.93
2022-01-13,Sports,Dumbbell Set,South,Wholesale,65,404.83,24998.25,4643.23
2022-01-13,Beauty,Makeup Palette,West,Wholesale,29,73.93,2358.37,507.3
2022-01-14,Home & Garden,Garden Tools,North,Direct,48,458.75,26424.0,7949.34
2022-01-14,Beauty,Fragrance,North,Retail,87,72.0,7516.8,2542.11
2022-01-14,Clothing,Jacket,Central,Wholesale,3,198.38,595.14,247.54
2022-01-14,Sports,Bike Helmet,North,Retail,81,344.93,33527.2,14236.83
2022-01-14,Home & Garden,Cookware Set,West,Wholesale,21,178.79,4130.05,896.67
2022-01-14,Electronics,Headphones,Central,Retail,36,360.34,12972.24,3506.29
2022-01-14,Beauty,Hair Dryer,South,Wholesale,74,468.45,32932.03,5810.69
2022-01-14,Sports,Yoga Mat,South,Direct,24,88.53,2018.48,327.04
2022-01-14,Sports,Tennis Racket,West,Retail,22,182.08,4406.34,1776.84
2022-01-14,Clothing,Dress,South,Retail,96,346.87,31634.54,10158.92
2022-01-14,Electronics,Tablet,North,Retail,5,174.35,1046.1,311.58
2022-01-14,Sports,Yoga Mat,East,Wholesale,74,392.17,29020.58,6090.78
2022-01-15,Electronics,Laptop,Central,Direct,31,357.79,11091.49,2697.73
2022-01-15,Electronics,Tablet,Central,Wholesale,19,435.69,8278.11,3278.46
2022-01-15,Beauty,Makeup Palette,South,Direct,76,242.01,17473.12,5046.74
2022-01-15,Clothing,Jeans,South,Wholesale,26,54.78,1353.07,374.13
2022-01-15,Home & Garden,Bedding Set,West,Direct,39,494.05,21194.75,9370.3
2022-01-15,Sports,Tennis Racket,South,Retail,94,125.0,11162.5,2721.43
2022-01-15,Beauty,Skin Care Kit,South,Wholesale,62,341.73,20127.9,7583.13
2022-01-15,Beauty,Hair Dryer,East,Wholesale,72,30.07,2165.04,896.22
2022-01-15,Beauty,Face Serum,South,Wholesale,16,163.88,2490.98,960.63
2022-01-15,Clothing,Jeans,South,Retail,87,273.85,22633.7,9875.6
2022-01-15,Sports,Bike Helmet,East,Retail,52,452.98,23554.96,
2022-01-15,Clothing,Dress,Central,Wholesale,25,179.81,4495.25,1675.65
2022-01-15,Sports,Bike Helmet,North,Direct,81,351.67,34182.32,12005.08
2022-01-15,Sports,Yoga Mat,East,Retail,5,24.36,121.8,36.33
2022-01-15,Sports,Yoga Mat,South,Wholesale,66,251.63,15777.2,5196.29
2022-01-15,Home & Garden,Cookware Set,North,Wholesale,28,219.41,7372.18,1831.49
2022-01-15,Home & Garden,Bedding Set,West,Direct,7,393.83,3032.49,548.11
2022-01-15,Clothing,Sneakers,Central,Direct,19,15.58,296.02,105.06
2022-01-15,Sports,Bike Helmet,West,Retail,86,32.78,3100.99,631.59
2022-01-15,Electronics,Laptop,West,Retail,6,198.23,1308.32,233.89
2022-01-15,Clothing,Sneakers,Central,Retail,90,178.87,16098.3,2632.56
2022-01-15,Electronics,Smartwatch,West,Direct,56,433.94,26730.7,11071.69
2022-01-15,Beauty,Skin Care Kit,East,Direct,59,103.73,6120.07,1704.56
2022-01-15,Electronics,Smartphone,South,Retail,92,366.95,32071.43,9933.63
2022-01-15,Clothing,T-Shirt,North,Retail,69,434.16,35948.45,15138.74
2022-01-15,Clothing,T-Shirt,East,Direct,78,401.92,31349.76,11588.08
2022-01-16,Sports,Dumbbell Set,North,Retail,7,329.55,2768.22,864.17
2022-01-16,Beauty,Fragrance,West,Retail,27,436.04,12950.39,3236.16
2022-01-16,Home & Garden,Office Chair,West,Wholesale,94,14.02,1449.67,256.68
2022-01-16,Clothing,T-Shirt,West,Wholesale,96,496.38,52417.73,11608.85
2022-01-16,Beauty,Face Serum,Central,Direct,52,88.06,4579.12,1520.63
2022-01-16,Sports,Dumbbell Set,Central,Wholesale,72,417.21,30039.12,6189.01
2022-01-16,Clothing,Sneakers,South,Direct,40,172.2,6543.6,1168.52
2022-01-16,Sports,Bike Helmet,Central,Wholesale,53,93.71,4966.63,899.78
2022-01-16,Home & Garden,Garden Tools,South,Wholesale,67,307.79,19590.83,6131.28
2022-01-16,Electronics,Smartphone,East,Wholesale,29,11.86,343.94,136.1
2022-01-16,Clothing,Jacket,West,Direct,56,433.69,26715.3,
2022-01-16,Beauty,Makeup Palette,Central,Direct,24,394.75,9474.0,2925.61
2022-01-16,Beauty,Face Serum,West,Wholesale,71,165.08,12892.75,3430.91
2022-01-16,Clothing,Dress,East,Direct,70,125.84,8808.8,2799.93
2022-01-16,Beauty,Skin Care Kit,East,Retail,93,359.63,33445.59,13101.61
2022-01-16,Sports,Yoga Mat,South,Retail,18,466.35,7974.59,2434.78
2022-01-16,Electronics,Laptop,Central,Direct,24,296.78,7122.72,2286.89
2022-01-16,Beauty,Hair Dryer,West,Direct,30,488.81,16130.73,7125.55
2022-01-17,Beauty,Hair Dryer,West,Retail,69,482.83,36646.8,14421.74
2022-01-17,Sports,Running Shoes,North,Direct,17,76.21,1554.68,322.19
2022-01-17,Electronics,Smartphone,South,Direct,94,482.96,43128.33,8755.94
2022-01-17,Home & Garden,Garden Tools,North,Direct,46,305.38,16856.98,6570.77
2022-01-17,Beauty,Makeup Palette,Central,Retail,31,105.44,3268.64,1254.16
2022-01-17,Sports,Bike Helmet,North,Wholesale,45,169.89,9174.06,2126.27
2022-01-17,Beauty,Skin Care Kit,South,Direct,46,292.79,12794.92,4560.48
2022-01-17,Beauty,Hair Dryer,East,Wholesale,14,39.62,554.68,202.49
2022-01-17,Home & Garden,Lamp,Central,Retail,54,240.31,12976.74,2394.13
2022-01-17,Beauty,Makeup Palette,East,Retail,97,92.95,9016.15,2549.11
2022-01-17,Clothing,Jacket,Central,Wholesale,3,84.93,254.79,110.16
2022-01-17,Electronics,Smartphone,South,Wholesale,28,374.32,9956.91,2826.51
2022-01-17,Home & Garden,Cookware Set,Central,Wholesale,26,349.04,9075.04,3155.43
2022-01-17,Electronics,Tablet,East,Direct,74,66.36,4910.64,887.16
2022-01-17,Sports,Tennis Racket,East,Retail,65,157.7,10250.5,4164.6
2022-01-17,Sports,Dumbbell Set,West,Direct,54,122.88,7299.07,
2022-01-17,Sports,Dumbbell Set,East,Retail,11,156.89,1725.79,295.58
2022-01-17,Sports,Tennis Racket,Central,Wholesale,24,226.53,5436.72,2399.63
2022-01-17,Sports,Tennis Racket,East,Direct,83,498.39,41366.37,7473.41
2022-01-17,Sports,Yoga Mat,South,Direct,24,306.08,6978.62,2606.57
2022-01-17,Home & Garden,Bedding Set,East,Retail,1,358.74,358.74,93.69
2022-01-18,Clothing,Jacket,South,Wholesale,47,11.4,509.01,228.12
2022-01-18,Clothing,Jacket,North,Direct,58,102.16,7110.34,2284.42
2022-01-18,Beauty,Hair Dryer,South,Direct,20,302.2,5741.8,1508.22
2022-01-18,Home & Garden,Cookware Set,North,Wholesale,1,107.29,128.75,49.17
2022-01-18,Beauty,Makeup Palette,West,Direct,27,267.31,7939.11,3242.12
2022-01-18,Clothing,Jeans,West,Direct,44,489.2,23677.28,7715.24
2022-01-18,Clothing,Dress,South,Wholesale,64,217.18,13204.54,3112.73
2022-01-18,Clothing,Jacket,East,Wholesale,93,205.54,19115.22,7077.7
2022-01-18,Electronics,Smartwatch,South,Direct,4,160.45,609.71,108.26
2022-01-18,Electronics,Smartwatch,East,Wholesale,36,277.67,9996.12,3100.58
2022-01-18,Home & Garden,Cookware Set,North,Retail,20,415.16,9963.84,3641.17
2022-01-19,Clothing,Jeans,North,Direct,42,380.86,19195.34,5937.31
2022-01-19,Sports,Bike Helmet,East,Retail,16,490.53,7848.48,2931.97
2022-01-19,Clothing,T-Shirt,South,Retail,14,480.91,6396.1,2265.51
2022-01-19,Home & Garden,Cookware Set,South,Direct,49,461.47,21481.43,4431.06
2022-01-19,Clothing,Jeans,North,Direct,16,185.75,3566.4,875.04
2022-01-19,Home & Garden,Bedding Set,South,Wholesale,10,336.2,3193.9,527.18
2022-01-19,Sports,Bike Helmet,South,Retail,75,228.43,16275.64,5962.06
2022-01-19,Sports,Dumbbell Set,North,Retail,65,143.28,11175.84,3448.19
2022-01-19,Beauty,Makeup Palette,North,Retail,33,291.09,11527.16,4848.25
2022-01-19,Home & Garden,Lamp,Central,Retail,99,494.72,48977.28,12610.62
2022-01-19,Sports,Bike Helmet,South,Retail,82,61.43,4785.4,2101.22
2022-01-19,Home & Garden,Lamp,South,Retail,20,146.82,2789.58,593.7
2022-01-19,Home & Garden,Bedding Set,North,Wholesale,16,217.63,4178.5,1301.69
2022-01-20,Clothing,Sneakers,North,Wholesale,74,474.62,42146.26,7711.44
2022-01-20,Home & Garden,Bedding Set,North,Direct,82,257.92,25379.33,9392.82
2022-01-20,Electronics,Headphones,North,Wholesale,53,320.44,20379.98,8643.57
2022-01-20,Electronics,Headphones,Central,Retail,4,435.49,1741.96,496.76
2022-01-20,Home & Garden,Garden Tools,Central,Wholesale,42,378.61,15901.62,2529.27
2022-01-20,Beauty,Fragrance,East,Retail,33,305.99,10097.67,4498.45
2022-01-20,Home & Garden,Lamp,South,Retail,52,207.19,10235.19,2988.94
2022-01-20,Clothing,Jacket,West,Retail,72,142.91,11318.47,2311.02
2022-01-20,Home & Garden,Bedding Set,East,Wholesale,84,13.81,1160.04,257.65
2022-01-20,Clothing,T-Shirt,North,Wholesale,91,207.32,22639.34,4376.82
2022-01-20,Beauty,Hair Dryer,West,Direct,89,34.98,3424.54,640.81
2022-01-20,Clothing,T-Shirt,Central,Retail,83,188.54,15648.82,3703.98
2022-01-21,Clothing,Sneakers,West,Wholesale,10,401.61,4417.71,706.94
2022-01-21,Electronics,Headphones,East,Wholesale,25,227.84,5696.0,1232.93
2022-01-21,Electronics,Tablet,West,Direct,61,195.89,13144.22,2643.79
2022-01-21,Electronics,Headphones,North,Wholesale,50,290.11,17406.6,4488.4
2022-01-21,Home & Garden,Garden Tools,Central,Retail,28,463.84,12987.52,5058.52
2022-01-21,Home & Garden,Cookware Set,East,Direct,10,275.98,2759.8,832.23
2022-01-21,Sports,Yoga Mat,North,Direct,72,223.69,19326.82,7889.64
2022-01-21,Sports,Running Shoes,North,Retail,19,65.15,1485.42,
2022-01-21,Electronics,Smartphone,South,Wholesale,85,41.75,3371.31,1509.84
2022-01-21,Electronics,Tablet,Central,Direct,93,252.67,23498.31,3969.26
2022-01-21,Clothing,Sneakers,West,Retail,89,480.58,47048.78,18958.05
2022-01-21,Clothing,Jeans,North,Retail,85,294.15,30003.3,8180.83
2022-01-21,Beauty,Makeup Palette,South,Wholesale,73,478.98,33217.26,6231.6
2022-01-21,Electronics,Smartwatch,East,Direct,60,27.79,1667.4,274.85
2022-01-21,Electronics,Laptop,North,Direct,35,317.19,13321.98,5751.95
